Date,City,Value
2010-01-01,Colombo,584
2010-02-01,Colombo,606
2010-03-01,Colombo,294
2010-04-01,Colombo,224
2010-05-01,Colombo,296
2010-06-01,Colombo,700
2010-07-01,Colombo,1530
2010-08-01,Colombo,881
2010-09-01,Colombo,312
2010-10-01,Colombo,267
2010-11-01,Colombo,97
2010-12-01,Colombo,146
2010-01-01,Gampaha,608
2010-02-01,Gampaha,623
2010-03-01,Gampaha,306
2010-04-01,Gampaha,205
2010-05-01,Gampaha,295
2010-06-01,Gampaha,381
2010-07-01,Gampaha,686
2010-08-01,Gampaha,417
2010-09-01,Gampaha,174
2010-10-01,Gampaha,101
2010-11-01,Gampaha,77
2010-12-01,Gampaha,87
2010-01-01,Kalutara,121
2010-02-01,Kalutara,124
2010-03-01,Kalutara,119
2010-04-01,Kalutara,114
2010-05-01,Kalutara,185
2010-06-01,Kalutara,294
2010-07-01,Kalutara,420
2010-08-01,Kalutara,215
2010-09-01,Kalutara,122
2010-10-01,Kalutara,56
2010-11-01,Kalutara,23
2010-12-01,Kalutara,19
2010-01-01,Kandy,211
2010-02-01,Kandy,174
2010-03-01,Kandy,116
2010-04-01,Kandy,89
2010-05-01,Kandy,114
2010-06-01,Kandy,176
2010-07-01,Kandy,341
2010-08-01,Kandy,230
2010-09-01,Kandy,91
2010-10-01,Kandy,64
2010-11-01,Kandy,22
2010-12-01,Kandy,16
2010-01-01,Matale,138
2010-02-01,Matale,113
2010-03-01,Matale,35
2010-04-01,Matale,46
2010-05-01,Matale,35
2010-06-01,Matale,35
2010-07-01,Matale,97
2010-08-01,Matale,43
2010-09-01,Matale,23
2010-10-01,Matale,21
2010-11-01,Matale,19
2010-12-01,Matale,45
2010-01-01,N eliya,28
2010-02-01,N eliya,11
2010-03-01,N eliya,15
2010-04-01,N eliya,6
2010-05-01,N eliya,14
2010-06-01,N eliya,13
2010-07-01,N eliya,45
2010-08-01,N eliya,44
2010-09-01,N eliya,21
2010-10-01,N eliya,21
2010-11-01,N eliya,6
2010-12-01,N eliya,3
2010-01-01,Galle,36
2010-02-01,Galle,79
2010-03-01,Galle,86
2010-04-01,Galle,115
2010-05-01,Galle,83
2010-06-01,Galle,145
2010-07-01,Galle,228
2010-08-01,Galle,169
2010-09-01,Galle,105
2010-10-01,Galle,49
2010-11-01,Galle,11
2010-12-01,Galle,7
2010-01-01,Hambantota,49
2010-02-01,Hambantota,128
2010-03-01,Hambantota,85
2010-04-01,Hambantota,45
2010-05-01,Hambantota,29
2010-06-01,Hambantota,82
2010-07-01,Hambantota,161
2010-08-01,Hambantota,122
2010-09-01,Hambantota,67
